encoder,learner,metric,delta_eta,mean_rep,ci_low_rep,ci_high_rep,mcse_rep,mean_short,ci_low_short,ci_high_short,mcse_short,mean_theoretical_gap,mean_abs_identity_error,scenario_group,n_scenarios,n_rows,M,target_mechanism,mean_roc_auc
count,logistic,brier,,,,,,0.01396849504696178,0.012596251119672617,0.015340738974250945,0.0007001244526985536,,,1C_finite,6,300,50.0,hamming_weight,
count,logistic,brier,,,,,,0.017434788139191967,0.015887229622615597,0.018982346655768336,0.0007895706717226368,,,1C_finite,6,300,50.0,position_specific,
count,logistic,brier,,,,,,0.07317386185376058,0.06585698779052535,0.08049073591699582,0.0037330990118547135,,,1C_finite,6,300,200.0,hamming_weight,
count,logistic,brier,,,,,,0.0767232030754598,0.06939916201312332,0.08404724413779627,0.0037367556440492202,,,1C_finite,6,300,200.0,position_specific,
count,logistic,brier,,,,,,0.11331141615507455,0.10676614045437509,0.11985669185577401,0.003339426377907886,,,1C_finite,6,300,1000.0,hamming_weight,
count,logistic,brier,,,,,,0.11605970606038458,0.10962199300445494,0.12249741911631423,0.0032845474775151234,,,1C_finite,6,300,1000.0,position_specific,
count,logistic,logloss,,,,,,0.008811695774275678,0.0077233783439757155,0.00990001320457564,0.0005552639950510012,,,1C_finite,6,300,10.0,hamming_weight,0.7636611321897401
count,logistic,logloss,,,,,,0.014533432538373829,0.013043513351160902,0.016023351725586756,0.0007601628506188399,,,1C_finite,6,300,10.0,position_specific,0.6991430841453196
count,logistic,logloss,,,,,,0.03867135301009373,0.03474381129811611,0.04259889472207135,0.0020038478122334814,,,1C_finite,6,300,50.0,hamming_weight,0.7542687889094082
count,logistic,logloss,,,,,,0.04557961168211593,0.04146106654657654,0.049698156817655326,0.002101298538540506,,,1C_finite,6,300,50.0,position_specific,0.6831274880634015
count,logistic,logloss,,,,,,0.478884379755966,0.424907186436453,0.532861573075479,0.027539384346690305,,,1C_finite,6,300,200.0,hamming_weight,0.7015437741629171
count,logistic,logloss,,,,,,0.46224202684667737,0.4114276544192499,0.5130563992741048,0.02592570021807526,,,1C_finite,6,300,200.0,position_specific,0.6452299307800398
count,logistic,logloss,,,,,,0.5847089953915624,0.5401880656361645,0.6292299251469603,0.022714760079284625,,,1C_finite,6,300,1000.0,hamming_weight,0.6395572321888033
count,logistic,logloss,,,,,,0.6218091253155082,0.5725323078384895,0.671085942792527,0.025141233406642205,,,1C_finite,6,300,1000.0,position_specific,0.6004257276013227
count,mlp,brier,,,,,,0.014161641103467166,0.012886997331590978,0.015436284875343355,0.0006503284550388722,,,1C_finite,6,300,10.0,hamming_weight,
count,mlp,brier,,,,,,0.010596351836130943,0.009212998508504693,0.011979705163757192,0.0007057925140950249,,,1C_finite,6,300,10.0,position_specific,
count,mlp,brier,,,,,,0.02669939095404289,0.02478618961193619,0.02861259229614959,0.0009761231337279082,,,1C_finite,6,300,50.0,hamming_weight,
count,mlp,brier,,,,,,0.029554318795413568,0.027483674036049118,0.031624963554778014,0.0010564514078390047,,,1C_finite,6,300,50.0,position_specific,
count,mlp,brier,,,,,,0.05405329394527289,0.050998100446791574,0.057108487443754206,0.0015587721931027139,,,1C_finite,6,300,200.0,hamming_weight,
count,mlp,brier,,,,,,0.05830441681716945,0.05499656670083951,0.06161226693349939,0.0016876786307805814,,,1C_finite,6,300,200.0,position_specific,
count,mlp,brier,,,,,,0.09945219112845562,0.09714684270703537,0.10175753954987586,0.0011761981741940039,,,1C_finite,6,300,1000.0,hamming_weight,
count,mlp,brier,,,,,,0.10625261410614381,0.10191094283194241,0.11059428538034521,0.002215138405204796,,,1C_finite,6,300,1000.0,position_specific,
count,mlp,logloss,,,,,,0.0328546806929651,0.030037468359227056,0.03567189302670314,0.0014373532314990024,,,1C_finite,6,300,10.0,hamming_weight,0.7509950636495711
count,mlp,logloss,,,,,,0.025173128882551587,0.021920173556458145,0.02842608420864503,0.0016596710847415522,,,1C_finite,6,300,10.0,position_specific,0.6886846364091387
count,mlp,logloss,,,,,,0.06595250161710701,0.06117028633493475,0.07073471689927928,0.0024399057562103396,,,1C_finite,6,300,50.0,hamming_weight,0.7140881694952618
count,mlp,logloss,,,,,,0.07263380401921038,0.06744377542807393,0.07782383261034682,0.002647973770987985,,,1C_finite,6,300,50.0,position_specific,0.6442036236690485
count,mlp,logloss,,,,,,0.14916412769578224,0.13897784661494159,0.1593504087766229,0.0051970821841023735,,,1C_finite,6,300,200.0,hamming_weight,0.6578517361525977
count,mlp,logloss,,,,,,0.16944180201600423,0.15393884397070137,0.18494476006130708,0.007909672472093295,,,1C_finite,6,300,200.0,position_specific,0.59610006934801
count,mlp,logloss,,,,,,0.4186816332087096,0.38627243120781113,0.4510908352096081,0.016535307143315553,,,1C_finite,6,300,1000.0,hamming_weight,0.6017743962898923
count,mlp,logloss,,,,,,0.5057782330451827,0.4596455196421186,0.5519109464482467,0.023537098675032685,,,1C_finite,6,300,1000.0,position_specific,0.5596552074936532
hash_column,lightgbm,brier,,,,,,0.01947839054849568,0.0180326556111273,0.020924125485864063,0.0007376198660042755,,,1C_finite,6,300,10.0,hamming_weight,
hash_column,lightgbm,brier,,,,,,0.023095846200246777,0.02069064449339576,0.025501047907097795,0.0012271437279852131,,,1C_finite,6,300,10.0,position_specific,
