arm,component,scenario_id,replicate,seed,d_active,M,K,marginal,tau,interaction_count,delta_eta,n_train,encoder,bucket_width,width_label,reference_log_gap,reference_brier_gap,production_log_gap,production_brier_gap,log_identity_error,brier_identity_error,prod_ref_log_abs_diff,prod_ref_brier_abs_diff,production_self_identity_error_log,production_self_identity_error_brier,fiber_count,stored_fiber_count,fiber_count_match,stored_representation_loss_log_mc,stored_representation_loss_brier_mc,stored_mcse_log,stored_mcse_brier,stored_abs_diff_log_mc,stored_abs_diff_brier_mc,stored_mc_tolerance_log,stored_mc_tolerance_brier,stored_mc_within_tolerance,recomputed_fiber_fingerprint,stored_fiber_fingerprint,fiber_fingerprint_match,tolerance,within_tolerance,injected_defect,status,notes
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_shared,20,B1,0.021556988178897174,0.010582644044503875,0.02155698817889873,0.010582644044505457,1.4918621893400541e-15,1.5838025335668249e-15,1.5543122344752192e-15,1.582067810090848e-15,8.673617379884035e-17,2.42861286636753e-17,56,56,1,0.0217181450991099,0.0106606466472589,0.0001119749848265,5.4655560161901975e-05,0.00016115692021117026,7.800260275344327e-05,0.000671850908959,0.0003279343609714119,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,hash_shared,40,B2,0.021556988178897174,0.010582644044503875,0.02155698817889873,0.010582644044505457,1.4918621893400541e-15,1.5838025335668249e-15,1.5543122344752192e-15,1.582067810090848e-15,8.673617379884035e-17,2.42861286636753e-17,56,56,1,0.0217181450991099,0.0106606466472589,0.0001119749848265,5.4655560161901975e-05,0.00016115692021117026,7.800260275344327e-05,0.000671850908959,0.0003279343609714119,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,target,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,woe,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,ordered_catboost_sim,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0002,2,149962002,3,5,4,uniform,0.5,0,0.0,5000,homals,,,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,64,64,1,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,label,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,onehot,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,count,,,0.00012180594687638546,5.8656040092308626e-05,0.00012180594687638546,5.865604009233638e-05,8.223673478302551e-17,2.5776906650842868e-17,0.0,2.7755575615628914e-17,8.223673478302551e-17,1.9651164376299768e-18,48,48,1,0.0001221037185777,5.8804786904231854e-05,5.525098987356711e-07,2.671119706996836e-07,2.9777170131454534e-07,1.4874681189547267e-07,3.3160593924140267e-06,1.6036718241981016e-06,1,b9544f108892ce67a15f5a11dcaf3362,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_column,10,B0,0.007180648706868409,0.003475205862013442,0.007180648706865744,0.0034752058620124704,2.7391283685673784e-15,9.697104230710352e-16,2.6645352591003757e-15,9.71445146547012e-16,9.454242944073599e-17,8.673617379884035e-18,240,240,1,0.0072178769063987,0.0034929926950125,4.47293037436391e-05,2.1679774249733317e-05,3.7228199532955523e-05,1.7786833000029735e-05,0.0002683768224618346,0.0001300796454983999,1,5b594384085afae80cb1cab187c36bd5,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_column,20,B1,0.004501176710778876,0.002177476805898082,0.004501176710775434,0.002177476805896972,3.420007332888275e-15,1.1249681741709594e-15,3.4416913763379853e-15,1.1102230246251565e-15,2.7755575615628914e-17,1.1275702593849246e-17,363,363,1,0.0045354526743556,0.0021945450168692,4.054428995606919e-05,1.971986076627143e-05,3.427596358016559e-05,1.706821097222826e-05,0.00024326673973641512,0.00011832016459762858,1,3d2825b7d92099ed8ceb9ba050d5d390,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_column,40,B2,0.0003356275850523449,0.00016092373224635415,0.00033562758505045753,0.0001609237322456325,1.913942095088661e-15,7.335711899036923e-16,1.887379141862766e-15,7.216449660063518e-16,2.5587171270657905e-17,1.1817803680091998e-17,768,768,1,0.0003358279388488,0.0001610086728946,1.5399998172670332e-06,7.448422701235143e-07,2.0035379834246149e-07,8.494064896751225e-08,9.2409989036022e-06,4.470053620741086e-06,1,3cf89093468c271e1bf273e2d0b3e30c,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_shared,10,B0,0.016264554535705522,0.007920084461933541,0.016264554535702302,0.007920084461932542,3.230055112268815e-15,9.870576578308032e-16,3.219646771412954e-15,9.992007221626409e-16,2.0816681711721685e-17,1.734723475976807e-18,56,56,1,0.0163637671755111,0.0079667746768085,9.268762464084683e-05,4.5031750736439096e-05,9.921263980879752e-05,4.669021487595758e-05,0.000556126747845081,0.0002701915044186346,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_shared,20,B1,0.016264554535705522,0.007920084461933541,0.016264554535702302,0.007920084461932542,3.230055112268815e-15,9.870576578308032e-16,3.219646771412954e-15,9.992007221626409e-16,2.0816681711721685e-17,1.734723475976807e-18,56,56,1,0.0163637671755111,0.0079667746768085,9.268762464084683e-05,4.5031750736439096e-05,9.921263980879752e-05,4.669021487595758e-05,0.000556126747845081,0.0002701915044186346,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,hash_shared,40,B2,0.016264554535705522,0.007920084461933541,0.016264554535702302,0.007920084461932542,3.230055112268815e-15,9.870576578308032e-16,3.219646771412954e-15,9.992007221626409e-16,2.0816681711721685e-17,1.734723475976807e-18,56,56,1,0.0163637671755111,0.0079667746768085,9.268762464084683e-05,4.5031750736439096e-05,9.921263980879752e-05,4.669021487595758e-05,0.000556126747845081,0.0002701915044186346,1,f3f5ad342e8943d339602bddd5233506,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,target,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,woe,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,ordered_catboost_sim,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0003,3,149962003,3,5,4,uniform,0.5,0,0.1,500,homals,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
d3_frozen,1B,S1B-0004,4,149962004,3,5,4,uniform,0.5,0,0.1,5000,label,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,1,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,1e-09,1,e52264e34a54280ff741f7239005aed7,,,1e-10,1,none,SUCCESS,
