panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-049,8.0,0.01,0.0,all_equal,winner_instability,0.8681,,0.8681
A/B,S2-049,8.0,0.01,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-049,8.0,0.01,0.0,all_equal,oracle_bound_ratio,0.6999967011421371,,0.6999967011421371
A/B,S2-053,8.0,0.01,0.5,all_equal,oracle_optimism_mean,0.0100327822035154,0.0203933398033761,8.227021493865335e-05
A/B,S2-053,8.0,0.01,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-053,8.0,0.01,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-053,8.0,0.01,0.5,all_equal,reporting_bias_mean,-8.953092828554974e-05,,0.0001000525582302
A/B,S2-053,8.0,0.01,0.5,all_equal,winner_instability,0.8697,,0.8697
A/B,S2-053,8.0,0.01,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-053,8.0,0.01,0.5,all_equal,oracle_bound_ratio,0.4919636656009883,,0.4919636656009883
A/B,S2-057,8.0,0.01,0.9,all_equal,oracle_optimism_mean,0.0044174008595648,0.0203933398033761,9.659219435656696e-05
A/B,S2-057,8.0,0.01,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-057,8.0,0.01,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-057,8.0,0.01,0.9,all_equal,reporting_bias_mean,-9.123140543127752e-05,,9.924188607592824e-05
A/B,S2-057,8.0,0.01,0.9,all_equal,winner_instability,0.8718,,0.8718
A/B,S2-057,8.0,0.01,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-057,8.0,0.01,0.9,all_equal,oracle_bound_ratio,0.2166099766960949,,0.2166099766960949
A/B,S2-061,8.0,0.03,0.0,all_equal,oracle_optimism_mean,0.0424914790255332,0.0611800194101285,0.00018504777372
A/B,S2-061,8.0,0.03,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-061,8.0,0.03,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-061,8.0,0.03,0.0,all_equal,reporting_bias_mean,-0.0002354321432133,,0.000299525985434
A/B,S2-061,8.0,0.03,0.0,all_equal,winner_instability,0.8705,,0.8705
A/B,S2-061,8.0,0.03,0.0,all_equal,one_se_regret_mean,0.0,,
A/B,S2-061,8.0,0.03,0.0,all_equal,oracle_bound_ratio,0.6945319637884698,,0.6945319637884698
A/B,S2-065,8.0,0.03,0.5,all_equal,oracle_optimism_mean,0.0298404775584908,0.0611800194101285,0.0002494426551186
A/B,S2-065,8.0,0.03,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-065,8.0,0.03,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-065,8.0,0.03,0.5,all_equal,reporting_bias_mean,-0.0005468824460756,,0.0003001321445293
A/B,S2-065,8.0,0.03,0.5,all_equal,winner_instability,0.8729,,0.8729
A/B,S2-065,8.0,0.03,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-065,8.0,0.03,0.5,all_equal,oracle_bound_ratio,0.487748742909857,,0.487748742909857
A/B,S2-069,8.0,0.03,0.9,all_equal,oracle_optimism_mean,0.0136183021605123,0.0611800194101285,0.0002923038007103
A/B,S2-069,8.0,0.03,0.9,all_equal,regret_mean,0.0,,0.0
