simulation,scenario_id,replicate,parameter_json,selection_rule_or_encoder,metric,value,theoretical_value,mcse,tolerance,criterion_id,criterion_pass,status,seed,notes
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,oracle_optimism_mean,0.0018311667386792863,0.0074115190368375565,4.452072538950189e-05,0.00013356217616850567,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,regret_mean,0.000989,,9.999894988947584e-06,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,p_select_best,0.5055,,0.5055,1.5164999999999997,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,reporting_bias_mean,-4.17139857013281e-05,,4.998595774194882e-05,0.00014995787322584646,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,winner_instability,0.49450000000000005,,0.49450000000000005,1.4835000000000003,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,one_se_regret_mean,0.0002694,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-006,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.002""}",panel,oracle_bound_ratio,0.2470703683789811,,0.2470703683789811,0.7412111051369433,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1006,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,oracle_optimism_mean,0.0006912922873014367,0.0074115190368375565,4.619471827062282e-05,0.00013858415481186846,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,regret_mean,0.0012690000000000002,,2.176031367248902e-05,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,p_select_best,0.7462,,0.7462,2.2386,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
sim2,S2-007,10000,"{""K"": 3, ""sigma"": 0.005, ""rho"": 0.5, ""regime"": ""best=0.005""}",panel,reporting_bias_mean,-4.6154267514177747e-05,,5.014815823040149e-05,0.00015044447469120446,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1007,
