M,K,n_train,encoder,learner,encoded_width,eta_table_s,encode_s,fit_s,eval_s,cell_s,peak_rss_mb,learner_shortfall_sanity,status
5,50,500,hash_shared,mlp,250,0.330679,0.001,0.0452,0.1029,0.1485,245.5,0.203114,SUCCESS
5,50,500,target,logistic,5,0.330679,0.0155,0.001,0.0319,0.0381,245.5,0.109392,SUCCESS
5,50,500,target,lightgbm,5,0.330679,0.0155,0.0274,0.9323,0.9649,245.5,0.301299,SUCCESS
5,50,500,target,mlp,5,0.330679,0.0155,0.0362,0.0374,0.0788,245.5,0.110935,SUCCESS
5,50,500,woe,logistic,5,0.330679,0.0235,0.001,0.0298,0.0387,245.5,0.122618,SUCCESS
5,50,500,woe,lightgbm,5,0.330679,0.0235,0.0283,1.0282,1.0643,245.5,0.26483,SUCCESS
5,50,500,woe,mlp,5,0.330679,0.0235,0.0275,0.0367,0.072,245.5,0.140157,SUCCESS
5,50,500,ordered_catboost_sim,logistic,5,0.330679,0.0157,0.001,0.0312,0.0375,245.5,0.134165,SUCCESS
5,50,500,ordered_catboost_sim,lightgbm,5,0.330679,0.0157,0.0352,0.9705,1.011,245.5,0.364376,SUCCESS
5,50,500,ordered_catboost_sim,mlp,5,0.330679,0.0157,0.0248,0.0371,0.0671,245.5,0.145854,SUCCESS
5,50,500,homals,logistic,10,0.330679,0.1197,0.0017,0.068,0.1096,245.5,0.185204,SUCCESS
5,50,500,homals,lightgbm,10,0.330679,0.1197,0.0306,1.0111,1.0816,245.5,0.241568,SUCCESS
5,50,500,homals,mlp,10,0.330679,0.1197,0.016,0.0732,0.1291,245.5,0.17712,SUCCESS
5,50,5000,label,logistic,5,0.330679,0.0068,0.0016,0.0548,0.0587,245.5,0.145162,SUCCESS
5,50,5000,label,lightgbm,5,0.330679,0.0068,0.0772,0.8,0.8794,245.5,0.090756,SUCCESS
5,50,5000,label,mlp,5,0.330679,0.0068,0.2701,0.0612,0.3336,245.5,0.130007,SUCCESS
5,50,5000,onehot,logistic,255,0.330679,0.0072,0.0066,0.0832,0.0922,271.7,0.089884,SUCCESS
5,50,5000,onehot,lightgbm,255,0.330679,0.0072,0.1614,2.3014,2.4652,273.2,0.075988,SUCCESS
5,50,5000,onehot,mlp,255,0.330679,0.0072,0.2223,0.0863,0.311,281.5,0.125044,SUCCESS
5,50,5000,count,logistic,5,0.330679,0.0054,0.0018,0.0303,0.0338,281.5,0.114468,SUCCESS
5,50,5000,count,lightgbm,5,0.330679,0.0054,0.0738,0.8662,0.9417,281.5,0.089923,SUCCESS
5,50,5000,count,mlp,5,0.330679,0.0054,0.2084,0.0365,0.2467,281.5,0.106806,SUCCESS
5,50,5000,hash_column,logistic,250,0.330679,0.007,0.0089,0.0936,0.1048,281.5,0.091614,SUCCESS
5,50,5000,hash_column,lightgbm,250,0.330679,0.007,0.1371,2.0164,2.1559,281.5,0.088457,SUCCESS
5,50,5000,hash_column,mlp,250,0.330679,0.007,0.2212,0.1023,0.3259,281.5,0.11422,SUCCESS
5,50,5000,hash_shared,logistic,250,0.330679,0.0076,0.0064,0.0941,0.1031,281.5,0.148956,SUCCESS
5,50,5000,hash_shared,lightgbm,250,0.330679,0.0076,0.1074,1.2253,1.3352,281.5,0.17599,SUCCESS
5,50,5000,hash_shared,mlp,250,0.330679,0.0076,0.1764,0.1041,0.2831,281.5,0.151932,SUCCESS
5,50,5000,target,logistic,5,0.330679,0.0245,0.0018,0.0321,0.0421,281.5,0.074425,SUCCESS
5,50,5000,target,lightgbm,5,0.330679,0.0245,0.0998,0.9382,1.0462,281.5,0.101495,SUCCESS
5,50,5000,target,mlp,5,0.330679,0.0245,0.1187,0.0376,0.1645,281.5,0.082121,SUCCESS
5,50,5000,woe,logistic,5,0.330679,0.0331,0.0019,0.0307,0.0436,281.5,0.077416,SUCCESS
5,50,5000,woe,lightgbm,5,0.330679,0.0331,0.1001,0.9111,1.0221,281.5,0.108952,SUCCESS
5,50,5000,woe,mlp,5,0.330679,0.0331,0.1369,0.037,0.1849,281.5,0.078385,SUCCESS
